Column,Bank,Type,W,L,Unit Cell,Block Cell,Top Block,Well/Sub,VDD,Notes,Column,Bank,Type,W,L,Unit Cell,Block Cell,Top Block,Well/Sub,VDD,Notes
120,3,nthick,1.2,0.8,UC29/COL29,BLOCK_NFETHVSC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
121,3,nthick,1.2,0.8,UC29/COL29,BLOCK_NFETHVSC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
122,3,nthick,1.2,8,UC30/COL30,BLOCK_NFETHVSC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
123,3,nthick,1.2,8,UC30/COL30,BLOCK_NFETHVSC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
124,3,nthick,8,8,UC31/COL31,BLOCK_NFETHVSC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
125,3,nthick,8,8,UC31/COL31,BLOCK_NFETHVSC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
126,3,nthickbc,8,8,UC24/COL24,BLOCK_NFETHVBC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,"**Pattern Difference: 8/8 nthickbc; ** High-voltage, buried channel, Deep n-well",,,,,,,,,,,
127,3,nthickbc,8,8,UC24/COL24,BLOCK_NFETHVBC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,"**Pattern Difference: 8/8 nthickbc; ** High-voltage, buried channel, Deep n-well",,,,,,,,,,,
128,4,pshort,0.28,0.1,UC33/COL33,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
129,4,pshort,0.28,0.1,UC33/COL33,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
130,4,pshort,0.28,2.25,UC34/COL34,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
131,4,pshort,0.28,2.25,UC34/COL34,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
132,4,pshort,1.5,0.1,UC35/COL35,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
133,4,pshort,1.5,0.1,UC35/COL35,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
134,4,pshort,1.5,0.35,UC36/COL36,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
135,4,pshort,1.5,0.35,UC36/COL36,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
136,4,pshort,1.5,1.6,UC37/COL37,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
137,4,pshort,1.5,1.6,UC37/COL37,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
138,4,pshort,1.5,2.25,UC38/COL38,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
139,4,pshort,1.5,2.25,UC38/COL38,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
140,4,pshort,2.25,0.1,UC39/COL39,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
141,4,pshort,2.25,0.1,UC39/COL39,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
142,4,pshort,2.25,2.25,UC40/COL40,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
143,4,pshort,2.25,2.25,UC40/COL40,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
144,4,pshort,0.28,0.1,UC33/COL33,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
145,4,pshort,0.28,0.1,UC33/COL33,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
146,4,pshort,0.28,2.25,UC34/COL34,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
147,4,pshort,0.28,2.25,UC34/COL34,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
148,4,pshort,1.5,0.1,UC35/COL35,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
149,4,pshort,1.5,0.1,UC35/COL35,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
150,4,pshort,1.5,0.35,UC36/COL36,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
151,4,pshort,1.5,0.35,UC36/COL36,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
152,4,pshort,1.5,1.6,UC37/COL37,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
153,4,pshort,1.5,1.6,UC37/COL37,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
154,4,pshort,1.5,2.25,UC38/COL38,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
