,currIn,v2
636,9.96988e-10,-0.745909
637,9.96903e-10,-0.756259
638,9.9895e-10,-0.769053
639,9.96221e-10,-0.776095
640,9.96988e-10,-0.78501
641,9.99461e-10,-0.790615
642,9.98609e-10,-0.799096
643,9.98096e-10,-0.806139
644,9.975e-10,-0.812178
645,9.98609e-10,-0.820513
646,9.98523e-10,-0.82727
647,9.9878e-10,-0.83647
648,9.975e-10,-0.844662
649,9.95368e-10,-0.854006
650,9.99632e-10,-0.85803
651,9.98437e-10,-0.865362
652,9.97841e-10,-0.876718
653,9.97244e-10,-0.890374
654,9.99546e-10,-0.896556
655,9.98267e-10,-0.903454
656,9.97756e-10,-0.913086
657,9.97244e-10,-0.925736
658,1.00014e-09,-0.942266
659,9.99717e-10,-0.956497
660,9.96903e-10,-0.969865
661,9.98353e-10,-0.979497
662,1.00074e-09,-0.989559
663,9.97926e-10,-0.998328
664,9.99802e-10,-1.01054
665,9.9912e-10,-1.01831
666,9.9878e-10,-1.02866
667,9.98182e-10,-1.03743
668,9.96647e-10,-1.04907
669,9.96647e-10,-1.05554
670,9.98609e-10,-1.06546
671,9.96647e-10,-1.0679
672,9.97415e-10,-1.06776
673,9.95368e-10,-1.06819
674,9.97671e-10,-1.06876
675,9.95283e-10,-1.06848
676,9.98096e-10,-1.06373
677,9.96136e-10,-1.06043
678,9.97159e-10,-1.05626
679,9.96988e-10,-1.05367
680,9.95538e-10,-1.05094
681,9.96988e-10,-1.04821
682,9.97671e-10,-1.04433
683,9.97671e-10,-1.04303
684,9.94686e-10,-1.03786
685,9.94259e-10,-1.03599
686,9.95965e-10,-1.0311
687,9.96392e-10,-1.02808
688,9.94942e-10,-1.02161
689,9.97415e-10,-1.01601
690,9.96476e-10,-1.01112
691,9.96136e-10,-1.0058
692,9.95795e-10,-0.999188
693,9.94004e-10,-0.992577
694,9.96988e-10,-0.98309
695,9.95197e-10,-0.969434
696,9.94175e-10,-0.95578
697,9.93834e-10,-0.94471
698,9.97244e-10,-0.936515
699,9.94259e-10,-0.922573
700,9.9571e-10,-0.907767
701,9.96988e-10,-0.892386
702,9.95027e-10,-0.880024
703,9.95965e-10,-0.867231
704,9.96051e-10,-0.856881
705,9.95538e-10,-0.845668
706,9.975e-10,-0.83647
707,9.96306e-10,-0.823677
708,9.92128e-10,-0.811315
709,9.97841e-10,-0.799096
710,9.95795e-10,-0.787597
711,9.95454e-10,-0.775952
712,9.96306e-10,-0.76431
713,9.95027e-10,-0.753098
714,9.94004e-10,-0.744185
715,9.98267e-10,-0.728374
716,9.94345e-10,-0.71486
717,9.94942e-10,-0.70106
718,9.95368e-10,-0.691431
719,9.94772e-10,-0.676625
720,9.95454e-10,-0.660093
721,9.94686e-10,-0.640113
722,9.9571e-10,-0.622575
723,9.95624e-10,-0.602739
724,9.94089e-10,-0.588365
725,9.98096e-10,-0.574708
726,9.95027e-10,-0.560479
727,9.94942e-10,-0.546823
728,9.94345e-10,-0.532448
729,9.9571e-10,-0.519798
730,9.94772e-10,-0.504417
731,9.94175e-10,-0.491335
732,9.97415e-10,-0.47725
733,9.96051e-10,-0.468049
734,9.94686e-10,-0.458994
735,9.94259e-10,-0.454538
736,9.96392e-10,-0.448356
737,9.96647e-10,-0.444906
738,9.97415e-10,-0.440164
739,9.94004e-10,-0.441601
740,9.98267e-10,-0.439589
741,9.975e-10,-0.439732
742,9.96051e-10,-0.43772
743,9.95624e-10,-0.435562
744,9.98096e-10,-0.436714
745,1.00023e-09,-0.433981
746,9.94772e-10,-0.433981
747,9.97926e-10,-0.433121
748,9.975e-10,-0.434127
749,9.95965e-10,-0.432832
750,9.97926e-10,-0.433264
751,9.96136e-10,-0.434127
752,9.975e-10,-0.437577
753,9.98267e-10,-0.437431
754,9.98694e-10,-0.439012
755,9.94515e-10,-0.440595
756,9.98182e-10,-0.442894
757,9.96392e-10,-0.446632
758,1.00014e-09,-0.455256
759,9.9895e-10,-0.463307
760,9.9878e-10,-0.473225
761,9.98012e-10,-0.478544
762,9.9912e-10,-0.486305
763,9.96647e-10,-0.496943
764,9.98609e-10,-0.50873
765,9.96817e-10,-0.51836
766,9.98012e-10,-0.525835
767,9.98353e-10,-0.532591
768,9.97756e-10,-0.541646
769,9.9733e-10,-0.548692
770,9.98096e-10,-0.555592
771,9.98096e-10,-0.562203
772,9.9912e-10,-0.570683
773,9.99802e-10,-0.578303
774,9.96562e-10,-0.586927
775,9.97841e-10,-0.594976
776,9.97415e-10,-0.60432
777,9.98523e-10,-0.60662
778,9.98609e-10,-0.617833
779,9.97756e-10,-0.628614
780,9.98096e-10,-0.639393
781,9.96988e-10,-0.645144
782,9.97244e-10,-0.653193
783,9.99291e-10,-0.666993
784,9.99461e-10,-0.680938
785,1.00014e-09,-0.695024
786,9.975e-10,-0.709255
787,9.98267e-10,-0.72176
788,9.99717e-10,-0.731392
789,9.97159e-10,-0.741167
790,9.97159e-10,-0.750222
791,9.9895e-10,-0.761003
792,9.97159e-10,-0.769341
793,9.95368e-10,-0.780122
794,9.98523e-10,-0.789177
795,9.97244e-10,-0.799096
796,9.98864e-10,-0.805852
797,9.97074e-10,-0.812178
798,9.96988e-10,-0.813758
799,9.97841e-10,-0.815482
800,9.98012e-10,-0.817063
801,9.98096e-10,-0.815196
802,9.95965e-10,-0.812178
803,9.96817e-10,-0.808296
804,9.95113e-10,-0.805707
805,9.97244e-10,-0.801971
806,9.9588e-10,-0.801396
807,9.97841e-10,-0.797801
808,9.9588e-10,-0.794783
809,9.95027e-10,-0.790472
810,9.94686e-10,-0.788889
811,9.94431e-10,-0.784433
812,9.98694e-10,-0.781128
813,9.975e-10,-0.777102
814,9.98182e-10,-0.772359
815,9.97841e-10,-0.768478
816,9.96051e-10,-0.761721
817,9.9733e-10,-0.758128
818,9.96903e-10,-0.750511
819,9.96647e-10,-0.744903
820,9.96136e-10,-0.736423
821,9.96817e-10,-0.726073
822,9.96306e-10,-0.710981
823,9.96306e-10,-0.699193
824,9.95624e-10,-0.685968
825,9.94601e-10,-0.676193
826,9.93834e-10,-0.661676
827,9.95624e-10,-0.647876
828,9.94686e-10,-0.633214
829,9.96733e-10,-0.621858
830,9.96051e-10,-0.608058
831,9.93407e-10,-0.599003
832,9.96051e-10,-0.587502
833,9.95113e-10,-0.577583
834,9.94942e-10,-0.564358
835,9.96733e-10,-0.551136
836,9.91787e-10,-0.541646
837,9.95027e-10,-0.52871
