,V1,currIn
659,1.18364,9.99869e-10
660,1.21494,1.00055e-09
661,1.23628,1.00082e-09
662,1.24465,1.00129e-09
663,1.24564,1.00121e-09
664,1.23565,1.00171e-09
665,1.21675,1.00191e-09
666,1.19414,1.00231e-09
667,1.16531,1.00266e-09
668,1.13574,1.00221e-09
669,1.12083,1.0022e-09
670,1.11149,1.00194e-09
671,1.1075,1.00176e-09
672,1.11417,1.00127e-09
673,1.13105,1.00099e-09
674,1.15245,1.00061e-09
675,1.17936,1.00033e-09
676,1.21069,1.00007e-09
677,1.23477,1.00091e-09
678,1.24462,1.00124e-09
679,1.24657,1.00134e-09
680,1.23885,1.00181e-09
681,1.22112,1.00183e-09
682,1.19863,1.00222e-09
683,1.17078,1.00282e-09
684,1.14054,1.00244e-09
685,1.12331,1.00179e-09
686,1.11346,1.00198e-09
687,1.10837,1.0017e-09
688,1.1127,1.00123e-09
689,1.12851,1.00108e-09
690,1.14949,1.00063e-09
691,1.17556,1.0003e-09
692,1.20652,1.00042e-09
693,1.23316,1.00059e-09
694,1.24397,1.00091e-09
695,1.24732,1.00131e-09
696,1.24173,1.00152e-09
697,1.22467,1.00209e-09
698,1.203,1.00224e-09
699,1.17621,1.00246e-09
700,1.14506,1.00262e-09
701,1.12602,1.00217e-09
702,1.1155,1.00205e-09
703,1.10936,1.00163e-09
704,1.11211,1.00158e-09
705,1.12657,1.00125e-09
706,1.14624,1.00102e-09
707,1.17145,1.00029e-09
708,1.20225,1.00024e-09
709,1.23055,1.00063e-09
710,1.24345,1.00101e-09
711,1.24792,1.00123e-09
712,1.24397,1.00163e-09
713,1.22808,1.00183e-09
714,1.20761,1.00215e-09
715,1.1816,1.00238e-09
716,1.15005,1.00262e-09
717,1.12895,1.00206e-09
718,1.11748,1.00182e-09
719,1.11047,1.00199e-09
720,1.11126,1.00173e-09
721,1.12428,1.00114e-09
722,1.14331,1.00082e-09
723,1.1676,1.00049e-09
724,1.19804,1.00029e-09
725,1.22717,1.00034e-09
726,1.24304,1.00093e-09
727,1.24812,1.00128e-09
728,1.24581,1.00145e-09
729,1.23174,1.0018e-09
730,1.21165,1.00199e-09
731,1.18679,1.00229e-09
732,1.15551,1.00286e-09
733,1.13184,1.00216e-09
734,1.11944,1.00207e-09
735,1.11201,1.00191e-09
736,1.11086,1.00157e-09
737,1.12227,1.00093e-09
738,1.14123,1.0011e-09
739,1.16391,1.00037e-09
740,1.1938,1.00027e-09
741,1.22378,1.00024e-09
742,1.242,1.00082e-09
743,1.24795,1.00123e-09
744,1.24738,1.00139e-09
745,1.23526,1.00181e-09
746,1.21554,1.00234e-09
747,1.19144,1.00247e-09
748,1.16096,1.0029e-09
749,1.13495,1.00217e-09
750,1.12183,1.00195e-09
751,1.11306,1.00203e-09
752,1.11056,1.00161e-09
753,1.1204,1.00092e-09
754,1.13868,1.00088e-09
755,1.16033,1.00097e-09
756,1.18912,9.99938e-10
757,1.21987,1.0003e-09
758,1.24042,1.00085e-09
759,1.24828,1.00105e-09
760,1.24874,1.0015e-09
761,1.23816,1.00167e-09
762,1.21914,1.00221e-09
763,1.19597,1.0023e-09
764,1.16662,1.00254e-09
765,1.13874,1.00232e-09
766,1.12404,1.00198e-09
767,1.1146,1.00181e-09
768,1.11108,1.00173e-09
769,1.11866,1.00131e-09
770,1.13538,1.00086e-09
771,1.15728,1.00059e-09
772,1.18467,1.0003e-09
773,1.21556,1.00017e-09
774,1.23904,1.00084e-09
775,1.24801,1.00094e-09
776,1.24958,1.00134e-09
777,1.24121,1.00168e-09
778,1.22293,1.00187e-09
779,1.20048,1.00246e-09
780,1.17241,1.00272e-09
781,1.14258,1.00228e-09
782,1.12601,1.00201e-09
783,1.11667,1.00201e-09
784,1.11169,1.00171e-09
785,1.11721,1.00132e-09
786,1.13322,1.0011e-09
787,1.15423,1.00058e-09
788,1.18035,1.00029e-09
789,1.21129,1.00024e-09
790,1.23717,1.00053e-09
791,1.24768,1.00099e-09
792,1.25034,1.00127e-09
793,1.24384,1.00142e-09
794,1.22651,1.00223e-09
795,1.20511,1.00223e-09
796,1.17763,1.00257e-09
797,1.14686,1.00249e-09
798,1.12855,1.00204e-09
799,1.11839,1.0019e-09
800,1.11234,1.00175e-09
801,1.1156,1.00148e-09
802,1.13075,1.00136e-09
803,1.15091,1.00093e-09
804,1.1766,1.00015e-09
805,1.20722,1.00029e-09
806,1.23454,1.00053e-09
807,1.24702,1.00109e-09
808,1.25088,1.00144e-09
809,1.24647,1.00172e-09
810,1.23022,1.00202e-09
811,1.20934,1.0021e-09
812,1.18276,1.00261e-09
813,1.15133,1.00256e-09
814,1.13121,1.00182e-09
815,1.11999,1.00192e-09
816,1.11352,1.0019e-09
817,1.1147,1.00129e-09
818,1.12877,1.0011e-09
819,1.14784,1.00093e-09
820,1.17231,1.0004e-09
821,1.20304,1.00019e-09
822,1.23151,1.00066e-09
823,1.24624,1.00103e-09
824,1.25126,1.00129e-09
825,1.24825,1.00149e-09
826,1.23338,1.00176e-09
827,1.21339,1.00217e-09
828,1.18828,1.00254e-09
829,1.1565,1.00258e-09
830,1.13409,1.00225e-09
831,1.12207,1.002e-09
832,1.11467,1.00178e-09
833,1.11421,1.00163e-09
834,1.12617,1.00093e-09
835,1.14508,1.00117e-09
836,1.16848,1.00058e-09
837,1.19864,1.00017e-09
838,1.22805,1.00055e-09
839,1.24506,1.00126e-09
840,1.25123,1.00109e-09
841,1.25018,1.00135e-09
842,1.23686,1.00189e-09
843,1.21705,1.00205e-09
844,1.19291,1.00239e-09
845,1.16214,1.00259e-09
846,1.1372,1.00238e-09
847,1.12408,1.00193e-09
848,1.11589,1.00196e-09
849,1.11393,1.00157e-09
850,1.12418,1.00131e-09
851,1.14264,1.00107e-09
852,1.16475,1.0004e-09
853,1.19406,1.00035e-09
854,1.22451,1.00036e-09
855,1.24384,1.00082e-09
856,1.25094,1.00111e-09
857,1.25159,1.0015e-09
858,1.23977,1.0019e-09
859,1.2205,1.00201e-09
860,1.19761,1.00242e-09
861,1.16781,1.00302e-09
862,1.14025,1.00211e-09
863,1.12635,1.00233e-09
864,1.11736,1.00186e-09
865,1.11385,1.00198e-09
866,1.1225,1.00128e-09
867,1.14024,1.00103e-09
868,1.16146,1.0007e-09
869,1.18934,1.0003e-09
870,1.22037,1.00019e-09
871,1.24236,1.00079e-09
872,1.25087,1.00112e-09
873,1.25239,1.00144e-09
874,1.24295,1.00195e-09
875,1.22435,1.00219e-09
876,1.20185,1.00221e-09
877,1.17378,1.00263e-09
878,1.1441,1.00241e-09
879,1.12859,1.00206e-09
880,1.11933,1.00177e-09
881,1.11428,1.00167e-09
882,1.12083,1.00136e-09
883,1.13722,1.00099e-09
884,1.15827,1.00064e-09
885,1.18473,1.00009e-09
886,1.21603,1.00013e-09
887,1.24055,1.00083e-09
888,1.25042,1.00089e-09
889,1.2533,1.00137e-09
890,1.24577,1.00171e-09
891,1.22819,1.00206e-09
892,1.20627,1.00238e-09
893,1.17881,1.00269e-09
894,1.14814,1.00247e-09
895,1.13079,1.0021e-09
896,1.12101,1.002e-09
897,1.1153,1.00176e-09
898,1.11908,1.00149e-09
899,1.13467,1.00126e-09
900,1.15511,1.00101e-09
901,1.18085,1.00056e-09
902,1.21192,1.00033e-09
903,1.2385,1.00069e-09
904,1.24965,1.00106e-09
905,1.25336,1.00139e-09
906,1.24834,1.00161e-09
907,1.23132,1.00185e-09
908,1.21043,1.0025e-09
909,1.18417,1.0027e-09
910,1.15265,1.00222e-09
911,1.13296,1.00221e-09
912,1.12247,1.00204e-09
913,1.11625,1.00166e-09
914,1.1178,1.00146e-09
915,1.13235,1.00093e-09
916,1.15209,1.00084e-09
917,1.17635,1.00072e-09
918,1.20734,1.00014e-09
919,1.23566,1.00049e-09
920,1.24909,1.00123e-09
921,1.25353,1.00093e-09
922,1.25071,1.00164e-09
923,1.23499,1.00183e-09
924,1.21455,1.00232e-09
925,1.18954,1.00244e-09
926,1.1576,1.00284e-09
927,1.13551,1.00196e-09
928,1.12451,1.00204e-09
929,1.1174,1.00196e-09
930,1.11695,1.00153e-09
