,V1,Time
6038,3.2551,6.22888
6039,3.25552,6.22991
6040,3.25516,6.23095
6041,3.25476,6.23198
6042,3.25586,6.23301
6043,3.25446,6.23404
6044,3.25576,6.23507
6045,3.25456,6.2361
6046,3.25632,6.23714
6047,3.25388,6.23817
6048,3.25535,6.2392
6049,3.25525,6.24023
6050,3.25589,6.24126
6051,3.25444,6.2423
6052,3.25575,6.24333
6053,3.2547,6.24436
6054,3.25583,6.24539
6055,3.2545,6.24642
6056,3.25583,6.24745
6057,3.25529,6.24849
6058,3.25582,6.24952
6059,3.2552,6.25055
6060,3.2551,6.25158
6061,3.25515,6.25261
6062,3.25486,6.25364
6063,3.25572,6.25468
6064,3.25471,6.25571
6065,3.25598,6.25674
6066,3.2544,6.25777
6067,3.25622,6.2588
6068,3.2547,6.25983
6069,3.25585,6.26087
6070,3.2549,6.2619
6071,3.25556,6.26293
6072,3.25535,6.26396
6073,3.25447,6.26499
6074,3.25555,6.26602
6075,3.2544,6.26706
6076,3.25578,6.26809
6077,3.25479,6.26912
6078,3.25601,6.27015
6079,3.25456,6.27118
6080,3.25599,6.27222
6081,3.25493,6.27325
6082,3.25545,6.27428
6083,3.25497,6.27531
6084,3.25493,6.27634
6085,3.25519,6.27738
6086,3.25461,6.27841
6087,3.25591,6.27944
6088,3.25401,6.28047
6089,3.25598,6.2815
6090,3.25417,6.28253
6091,3.25526,6.28356
6092,3.25499,6.2846
6093,3.25562,6.28563
6094,3.25435,6.28666
6095,3.2553,6.28769
6096,3.25453,6.28872
6097,3.2543,6.28975
6098,3.25615,6.29079
6099,3.25434,6.29182
6100,3.25597,6.29285
6101,3.25381,6.29388
6102,3.25529,6.29491
6103,3.25539,6.29595
6104,3.25525,6.29698
6105,3.25447,6.29801
6106,3.25581,6.29904
6107,3.25453,6.30007
6108,3.25581,6.3011
6109,3.25525,6.30214
6110,3.25546,6.30317
6111,3.25497,6.3042
6112,3.25526,6.30523
6113,3.25513,6.30626
6114,3.25479,6.3073
6115,3.25588,6.30833
6116,3.25438,6.30936
6117,3.25573,6.31039
6118,3.25461,6.31142
6119,3.25599,6.31245
6120,3.25446,6.31349
6121,3.25562,6.31452
6122,3.25503,6.31555
6123,3.25495,6.31658
6124,3.25522,6.31761
6125,3.25505,6.31865
6126,3.25338,6.31968
6127,3.25597,6.32071
6128,3.254,6.32174
6129,3.25578,6.32277
6130,3.25483,6.3238
6131,3.25592,6.32483
6132,3.25489,6.32587
6133,3.25493,6.3269
6134,3.25473,6.32793
6135,3.25551,6.32896
6136,3.25463,6.32999
6137,3.25592,6.33103
6138,3.25499,6.33206
6139,3.25563,6.33309
6140,3.2549,6.33412
6141,3.25507,6.33515
6142,3.25503,6.33618
6143,3.2548,6.33722
6144,3.2553,6.33825
6145,3.25454,6.33928
6146,3.25576,6.34031
6147,3.25437,6.34134
6148,3.25572,6.34238
6149,3.25476,6.34341
6150,3.25545,6.34444
6151,3.25566,6.34547
6152,3.25479,6.3465
6153,3.25599,6.34754
6154,3.25481,6.34857
6155,3.25489,6.3496
6156,3.25591,6.35063
6157,3.25479,6.35166
6158,3.25553,6.35269
6159,3.25527,6.35373
6160,3.25486,6.35476
6161,3.25611,6.35579
6162,3.25476,6.35682
6163,3.2551,6.35785
6164,3.25553,6.35889
6165,3.25459,6.35992
6166,3.25576,6.36095
6167,3.25466,6.36198
6168,3.25621,6.36301
6169,3.25464,6.36404
6170,3.25548,6.36508
6171,3.25532,6.36611
6172,3.25441,6.36714
6173,3.25618,6.36817
6174,3.25471,6.3692
6175,3.25559,6.37024
6176,3.25496,6.37127
6177,3.25545,6.3723
6178,3.25543,6.37333
6179,3.25474,6.37436
6180,3.25605,6.3754
6181,3.25461,6.37643
6182,3.25592,6.37746
6183,3.25375,6.37849
6184,3.25582,6.37952
6185,3.25447,6.38055
6186,3.25542,6.38159
6187,3.25467,6.38262
6188,3.25586,6.38365
6189,3.25546,6.38468
6190,3.25526,6.38571
6191,3.2553,6.38674
6192,3.25446,6.38778
6193,3.25582,6.38881
6194,3.25489,6.38984
6195,3.25631,6.39087
6196,3.25545,6.3919
6197,3.25471,6.39294
6198,3.25566,6.39397
6199,3.25444,6.395
6200,3.25581,6.39603
6201,3.25503,6.39706
6202,3.25585,6.39809
6203,3.25479,6.39913
6204,3.25537,6.40016
6205,3.25565,6.40119
6206,3.25469,6.40222
