,V1,currIn,v2
514,3.2762,9.94508e-10,0.427318
515,3.28296,9.93911e-10,0.431628
516,3.28181,9.94508e-10,0.435221
517,3.28095,9.93741e-10,0.436659
518,3.28469,9.94849e-10,0.437233
519,3.28411,9.95446e-10,0.436373
520,3.28814,9.9826e-10,0.438097
521,3.28526,9.97919e-10,0.438385
522,3.28986,9.9519e-10,0.439103
523,3.28986,9.94167e-10,0.439534
524,3.28986,9.93229e-10,0.437665
525,3.28785,9.96469e-10,0.440254
526,3.28871,9.95703e-10,0.435941
527,3.29058,9.97493e-10,0.437665
528,3.28957,9.97748e-10,0.431054
529,3.29317,9.99284e-10,0.430479
530,3.29044,9.96469e-10,0.42516
531,3.28785,9.98687e-10,0.424442
532,3.28483,9.98602e-10,0.417254
533,3.28799,9.98431e-10,0.412512
534,3.27951,9.99881e-10,0.404174
535,3.27016,1.005e-09,0.385633
536,3.26067,1.00406e-09,0.37169
537,3.25679,1.0044e-09,0.352285
538,3.25176,1.00517e-09,0.339923
539,3.24227,1.00346e-09,0.322244
540,3.23364,1.00679e-09,0.303988
541,3.21998,1.00474e-09,0.281997
542,3.21351,1.00312e-09,0.263598
543,3.20603,1.00431e-09,0.245202
544,3.20215,1.00184e-09,0.231977
545,3.19352,1.00628e-09,0.21559
546,3.18705,1.00559e-09,0.200641
547,3.17943,1.00304e-09,0.183537
548,3.17167,1.00167e-09,0.167439
549,3.16477,1.00619e-09,0.148609
550,3.15743,1.0038e-09,0.138547
551,3.15183,1.00448e-09,0.118999
552,3.14392,1.00466e-09,0.103188
553,3.13572,1.00295e-09,0.0879502
554,3.12968,1.00568e-09,0.0755906
555,3.12077,1.00653e-09,0.0594902
556,3.11099,1.00559e-09,0.0367808
557,3.10208,1.00721e-09,0.0195313
558,3.10179,1.0038e-09,0.000703335
559,3.09028,1.00176e-09,-0.0156832
560,3.07662,1.0073e-09,-0.0396895
561,3.06181,1.01276e-09,-0.0626898
562,3.05347,1.01131e-09,-0.0930214
563,3.03924,1.00832e-09,-0.122347
564,3.02989,1.00687e-09,-0.144198
565,3.01853,1.00431e-09,-0.162311
566,3.01178,1.00269e-09,-0.177405
567,3.002,1.00099e-09,-0.20098
568,2.99495,1.00628e-09,-0.21981
569,2.98316,1.00781e-09,-0.240366
570,2.9731,1.00525e-09,-0.259485
571,2.96677,1.00312e-09,-0.278029
572,2.95815,1.0021e-09,-0.298011
573,2.95512,1.00201e-09,-0.310373
574,2.95038,9.99113e-10,-0.322161
575,2.94851,9.96982e-10,-0.322449
576,2.9475,9.98089e-10,-0.331504
577,2.94463,9.99881e-10,-0.333519
578,2.94851,9.96128e-10,-0.337975
579,2.95009,9.93229e-10,-0.330644
