,Row 1
1202,1.09267
1203,1.09195
1204,1.09454
1205,1.09512
1206,1.099
1207,1.09972
1208,1.09857
1209,1.10029
1210,1.10202
1211,1.1036
1212,1.10158
1213,1.10058
1214,1.10173
1215,1.10173
1216,1.10015
1217,1.09813
1218,1.09526
1219,1.09325
1220,1.08951
1221,1.09397
1222,1.08664
1223,1.08649
1224,1.0852
1225,1.08146
1226,1.08319
1227,1.08118
1228,1.08089
1229,1.08391
1230,1.08549
1231,1.08348
1232,1.08592
1233,1.08678
1234,1.09152
1235,1.0931
1236,1.09325
1237,1.09483
1238,1.099
1239,1.09742
1240,1.09914
1241,1.10072
1242,1.10072
1243,1.10288
1244,1.10086
1245,1.09914
1246,1.10288
1247,1.10187
1248,1.09871
1249,1.09828
1250,1.0954
1251,1.09526
1252,1.09325
1253,1.09081
1254,1.08822
1255,1.09009
1256,1.08779
1257,1.08592
1258,1.08405
1259,1.07931
1260,1.08247
1261,1.08319
1262,1.08319
1263,1.08779
1264,1.08678
1265,1.08649
1266,1.08951
1267,1.08951
1268,1.09195
1269,1.09382
1270,1.09138
1271,1.09684
1272,1.09914
1273,1.10029
1274,1.10015
1275,1.10101
1276,1.10058
1277,1.10431
1278,1.10561
1279,1.10086
1280,1.10317
1281,1.09986
1282,1.09885
1283,1.10015
1284,1.09468
1285,1.09109
1286,1.09138
1287,1.09109
1288,1.08879
1289,1.08635
1290,1.08405
1291,1.08247
1292,1.08232
1293,1.08103
1294,1.08175
1295,1.08305
1296,1.08132
1297,1.08664
1298,1.08678
1299,1.08836
1300,1.09152
1301,1.0898
1302,1.09138
1303,1.09426
1304,1.0977
1305,1.0977
1306,1.09928
1307,1.09713
1308,1.09986
1309,1.10144
1310,1.1036
1311,1.1013
1312,1.10072
1313,1.10058
1314,1.10216
1315,1.09828
1316,1.09569
1317,1.09799
1318,1.09354
1319,1.09382
1320,1.09325
1321,1.09009
1322,1.0898
1323,1.08807
1324,1.08434
1325,1.08305
1326,1.08405
1327,1.08074
1328,1.08189
1329,1.08204
1330,1.08506
1331,1.08793
1332,1.08563
1333,1.08621
1334,1.09267
1335,1.09195
1336,1.09397
1337,1.09584
1338,1.09655
1339,1.10072
1340,1.10158
1341,1.10015
1342,1.10187
1343,1.10446
1344,1.10317
1345,1.10245
1346,1.09943
1347,1.09986
1348,1.10015
1349,1.09742
1350,1.0944
1351,1.09468
1352,1.09195
1353,1.08951
1354,1.09296
1355,1.08664
1356,1.08807
1357,1.08534
1358,1.08319
1359,1.08376
1360,1.08405
1361,1.08434
1362,1.08434
1363,1.08506
1364,1.08448
1365,1.08678
1366,1.08692
1367,1.08865
1368,1.09037
1369,1.09138
1370,1.09426
1371,1.09742
1372,1.09454
1373,1.09742
1374,1.09742
1375,1.10029
1376,1.10475
1377,1.10431
1378,1.10086
1379,1.10259
1380,1.10431
1381,1.1023
1382,1.10029
1383,1.09655
1384,1.0931
1385,1.09354
1386,1.0921
1387,1.09124
1388,1.09052
1389,1.08491
1390,1.0829
1391,1.08305
1392,1.08261
1393,1.08333
1394,1.08204
1395,1.08376
1396,1.08649
1397,1.0875
1398,1.08966
1399,1.0885
1400,1.08951
1401,1.0898
1402,1.09699
1403,1.09339
1404,1.09627
1405,1.09742
1406,1.09598
1407,1.10058
1408,1.09957
1409,1.09799
1410,1.10173
1411,1.10288
1412,1.10029
1413,1.10115
1414,1.09914
1415,1.10072
1416,1.09813
1417,1.0954
1418,1.09382
1419,1.09468
1420,1.09052
1421,1.09023
1422,1.08879
1423,1.08563
1424,1.08635
1425,1.08247
1426,1.07974
1427,1.08405
1428,1.08491
1429,1.08218
1430,1.0852
1431,1.08434
1432,1.08707
1433,1.08865
1434,1.08879
1435,1.09095
1436,1.09497
1437,1.09569
1438,1.09699
1439,1.09871
1440,1.09655
1441,1.10086
1442,1.1023
1443,1.10144
1444,1.10431
1445,1.10345
1446,1.10058
1447,1.10216
1448,1.09943
1449,1.09943
1450,1.09641
1451,1.09282
1452,1.09339
1453,1.0921
1454,1.09066
1455,1.08793
1456,1.08649
1457,1.08448
1458,1.08477
1459,1.08506
1460,1.08003
1461,1.08348
1462,1.08333
1463,1.08621
1464,1.08865
1465,1.08664
1466,1.08649
1467,1.09009
1468,1.09224
1469,1.09354
1470,1.09339
1471,1.09382
1472,1.09627
1473,1.09785
1474,1.09928
1475,1.10072
1476,1.10101
1477,1.099
1478,1.10374
1479,1.10158
1480,1.10086
1481,1.10202
1482,1.09684
1483,1.1
1484,1.09655
1485,1.0954
1486,1.09339
1487,1.09066
1488,1.08592
1489,1.08606
1490,1.08549
1491,1.08419
1492,1.08218
1493,1.08031
1494,1.08175
1495,1.08721
1496,1.08362
1497,1.08305
1498,1.08707
1499,1.08721
1500,1.09195
1501,1.09354
1502,1.09253
1503,1.09598
1504,1.09699
1505,1.09512
1506,1.09828
1507,1.09986
1508,1.09943
1509,1.09986
1510,1.10158
1511,1.10302
1512,1.10446
1513,1.09986
1514,1.0977
1515,1.10058
1516,1.09756
1517,1.09684
1518,1.09512
1519,1.09426
1520,1.09497
1521,1.09224
1522,1.08894
1523,1.08664
1524,1.08621
1525,1.0829
1526,1.08419
1527,1.08089
1528,1.08218
1529,1.08391
1530,1.08348
1531,1.08348
1532,1.08577
1533,1.08664
1534,1.08822
1535,1.09411
1536,1.09224
1537,1.09655
1538,1.09627
1539,1.09813
1540,1.10044
1541,1.10144
1542,1.1023
1543,1.10331
1544,1.10374
1545,1.1023
1546,1.10086
1547,1.10158
1548,1.099
1549,1.09627
1550,1.09339
1551,1.09483
1552,1.09497
1553,1.08894
1554,1.08721
1555,1.08707
1556,1.08678
1557,1.08807
1558,1.08362
1559,1.08261
1560,1.08376
1561,1.0852
1562,1.08664
1563,1.08592
1564,1.08592
1565,1.08534
1566,1.08951
1567,1.08937
1568,1.09339
1569,1.09483
1570,1.09267
1571,1.09512
1572,1.09742
1573,1.09871
1574,1.1
1575,1.09828
1576,1.10245
1577,1.10518
1578,1.10345
1579,1.10302
1580,1.10158
1581,1.10072
1582,1.09885
1583,1.10115
1584,1.09512
1585,1.09397
1586,1.09167
1587,1.08707
1588,1.09267
1589,1.08721
1590,1.08333
1591,1.08434
1592,1.08376
1593,1.08175
1594,1.08405
1595,1.08118
1596,1.08434
1597,1.08463
1598,1.08577
1599,1.08779
1600,1.09109
1601,1.09081
1602,1.09296
1603,1.09368
1604,1.09468
1605,1.0977
1606,1.09828
1607,1.09785
1608,1.1013
1609,1.10331
1610,1.10173
1611,1.10317
1612,1.09957
1613,1.10015
1614,1.10015
1615,1.09928
1616,1.09727
1617,1.09641
1618,1.09468
1619,1.09368
1620,1.09181
1621,1.08664
1622,1.08894
1623,1.08678
1624,1.08348
1625,1.08635
1626,1.08419
1627,1.08232
1628,1.08391
1629,1.0829
1630,1.08463
1631,1.08577
1632,1.08506
1633,1.08922
1634,1.09124
1635,1.09368
1636,1.09411
1637,1.09569
1638,1.09468
1639,1.09813
1640,1.10058
1641,1.09799
1642,1.1023
1643,1.10245
1644,1.10431
1645,1.10431
1646,1.1
1647,1.09885
1648,1.10029
1649,1.09871
1650,1.09641
1651,1.09397
1652,1.09138
1653,1.09267
1654,1.08793
1655,1.08836
1656,1.08606
1657,1.08448
1658,1.07974
1659,1.08463
1660,1.08247
1661,1.08448
1662,1.08549
1663,1.08276
1664,1.08721
1665,1.08894
1666,1.08865
1667,1.09095
1668,1.09124
1669,1.09095
1670,1.09584
1671,1.09555
1672,1.09785
1673,1.09655
1674,1.09742
1675,1.10029
1676,1.10518
1677,1.10216
1678,1.10044
1679,1.10273
1680,1.10101
1681,1.10317
1682,1.10345
1683,1.09699
1684,1.09612
1685,1.09512
1686,1.09152
1687,1.08994
1688,1.08879
1689,1.08592
1690,1.08419
1691,1.08218
1692,1.08376
1693,1.08434
1694,1.08204
1695,1.08017
1696,1.08549
1697,1.08664
1698,1.08621
1699,1.08922
1700,1.0898
1701,1.0931
1702,1.09512
1703,1.0944
1704,1.09584
1705,1.09857
1706,1.09857
1707,1.1023
1708,1.09799
1709,1.10086
1710,1.10216
1711,1.10044
1712,1.09857
1713,1.09914
1714,1.09986
1715,1.09828
1716,1.09972
1717,1.09339
1718,1.09468
1719,1.09296
1720,1.09066
1721,1.08908
1722,1.08865
1723,1.08664
1724,1.08621
1725,1.08362
1726,1.08204
1727,1.08333
1728,1.08232
1729,1.08247
1730,1.08261
1731,1.08362
1732,1.0875
1733,1.08894
1734,1.08736
1735,1.09081
1736,1.09267
1737,1.0944
1738,1.09871
1739,1.0977
1740,1.09885
1741,1.10144
1742,1.10216
1743,1.1059
1744,1.10302
1745,1.1
1746,1.10144
1747,1.10072
1748,1.09986
1749,1.09928
1750,1.09785
1751,1.09354
1752,1.09339
1753,1.09152
1754,1.08879
1755,1.0875
1756,1.08391
1757,1.08563
1758,1.08577
1759,1.08276
1760,1.08577
1761,1.08276
1762,1.0829
1763,1.08419
1764,1.08908
1765,1.08621
1766,1.08865
1767,1.08922
1768,1.09066
1769,1.09699
1770,1.09468
1771,1.09239
1772,1.09655
1773,1.09928
1774,1.09813
1775,1.10044
1776,1.1013
1777,1.10288
1778,1.10216
1779,1.1
1780,1.10101
1781,1.10216
1782,1.09655
1783,1.09699
1784,1.09612
1785,1.0944
1786,1.09239
1787,1.08822
1788,1.08635
1789,1.08764
1790,1.08736
1791,1.0829
1792,1.08434
1793,1.08017
1794,1.08161
1795,1.0829
1796,1.08391
1797,1.08463
1798,1.08635
1799,1.08664
1800,1.0885
1801,1.09109
1802,1.09023
1803,1.09512
1804,1.09627
1805,1.09555
1806,1.10144
1807,1.10101
1808,1.1
1809,1.10374
1810,1.10187
1811,1.10288
1812,1.1023
1813,1.09857
1814,1.1023
1815,1.09957
1816,1.09799
1817,1.0967
1818,1.09267
1819,1.09181
1820,1.09138
1821,1.09066
1822,1.08649
1823,1.08894
1824,1.08405
1825,1.08434
1826,1.08506
1827,1.08132
1828,1.08218
1829,1.08419
1830,1.0852
1831,1.08635
1832,1.08491
1833,1.08664
1834,1.09124
1835,1.09023
1836,1.09282
1837,1.09368
1838,1.09368
1839,1.09569
1840,1.10173
1841,1.10029
1842,1.10202
1843,1.1036
1844,1.10029
1845,1.10245
1846,1.10331
1847,1.10115
1848,1.10058
1849,1.09857
1850,1.09426
1851,1.09727
1852,1.09253
1853,1.09066
1854,1.0852
1855,1.08592
1856,1.08707
1857,1.08707
1858,1.08276
1859,1.07988
1860,1.08376
1861,1.08261
1862,1.08577
1863,1.08764
1864,1.08463
1865,1.08836
1866,1.09081
1867,1.08966
1868,1.0921
1869,1.09195
1870,1.09239
1871,1.09339
1872,1.09684
1873,1.09928
