,VoltIn,VpwrIn000,CurrOut001,VpwrIn001,CurrOut002,VpwrIn002,CurrOut003,VpwrIn003,CurrOut004,VpwrIn004,CurrOut005,VpwrIn005,CurrOut006,VpwrIn006,CurrOut007,VpwrIn007,CurrOut008
82,8.29954,3.0,0.0171,4.0,0.1655,5.0,0.4667,6.0,0.8595999999999999,7.0,0.9504999999999999,8.0,0.9847,9.0,1.0138,10.0,1.0482
83,8.39928,3.0,0.0171,4.0,0.1656,5.0,0.467,6.0,0.8658,7.0,0.9631000000000001,8.0,0.9982000000000001,9.0,1.0278,10.0,1.0625
84,8.49953,3.0,0.0171,4.0,0.1657,5.0,0.4672,6.0,0.8714000000000001,7.0,0.9757,8.0,1.0116999999999998,9.0,1.0418,10.0,1.077
85,8.59932,3.0,0.0171,4.0,0.1657,5.0,0.46749999999999997,6.0,0.8763,7.0,0.9882999999999998,8.0,1.0251,9.0,1.0556999999999999,10.0,1.0914
86,8.69946,3.0,0.0171,4.0,0.1658,5.0,0.4677,6.0,0.8805,7.0,1.0008000000000001,8.0,1.0386,9.0,1.0695999999999999,10.0,1.1058000000000001
87,8.79938,3.0,0.0172,4.0,0.1659,5.0,0.46799999999999997,6.0,0.8841,7.0,1.0134,8.0,1.052,9.0,1.0835000000000001,10.0,1.1202
88,8.89949,3.0,0.0171,4.0,0.1659,5.0,0.4683,6.0,0.887,7.0,1.0259,8.0,1.0655000000000001,9.0,1.0975,10.0,1.1345
89,8.9993,3.0,0.0172,4.0,0.1661,5.0,0.4686,6.0,0.8894000000000001,7.0,1.0383,8.0,1.0789,9.0,1.1113,10.0,1.1489
90,9.0995,3.0,0.0172,4.0,0.1661,5.0,0.4688,6.0,0.8913,7.0,1.0508,8.0,1.0923,9.0,1.1253000000000002,10.0,1.1633
91,9.19954,3.0,0.0172,4.0,0.16620000000000001,5.0,0.46900000000000003,6.0,0.8926999999999999,7.0,1.0631,8.0,1.1057000000000001,9.0,1.1392,10.0,1.1777
92,9.29945,3.0,0.0172,4.0,0.16620000000000001,5.0,0.46930000000000005,6.0,0.8939,7.0,1.0755000000000001,8.0,1.1191,9.0,1.1531,10.0,1.192
93,9.39953,3.0,0.0172,4.0,0.1664,5.0,0.46959999999999996,6.0,0.895,7.0,1.0877000000000001,8.0,1.1325,9.0,1.167,10.0,1.2064000000000001
94,9.49945,3.0,0.0172,4.0,0.1664,5.0,0.4698,6.0,0.8959,7.0,1.1,8.0,1.1458,9.0,1.181,10.0,1.2207999999999999
95,9.59961,3.0,0.0172,4.0,0.1665,5.0,0.47009999999999996,6.0,0.8968,7.0,1.1122,8.0,1.1592,9.0,1.1948,10.0,1.2351
96,9.69939,3.0,0.0172,4.0,0.1665,5.0,0.4703,6.0,0.8976999999999999,7.0,1.1242999999999999,8.0,1.1724999999999999,9.0,1.2087,10.0,1.2493999999999998
97,9.79959,3.0,0.0172,4.0,0.16670000000000001,5.0,0.4706,6.0,0.8983,7.0,1.1364,8.0,1.1859,9.0,1.2226,10.0,1.2638
98,9.89938,3.0,0.0172,4.0,0.16670000000000001,5.0,0.4708,6.0,0.8991,7.0,1.1483999999999999,8.0,1.1992,9.0,1.2364,10.0,1.2780999999999998
